#тип; название модели; год выпуска;  кол-во передач; страна производитель
"auto";"Nissan Laurel";1980;5;"Япония"
"auto";"Kia Carens";2006;6;"Республика Корея"
"auto";"Mitsubishi Outlander";2001;6;"Филиппины"
"auto";"DeLorean DMC-12";1981;5;"Соединённые Штаты Америки"
"auto";"Jeep CJ";1944;5;"Соединённые Штаты Америки"
"auto";"Mitsubishi Pajero";1991;5;"Нидерланды"
"auto";"Jeep CJ";1945;5;"Соединённые Штаты Америки"
"auto";"Mitsubishi Grandis";2003;6;"Таиланд"
"auto";"Mitsubishi Mirage";1998;5;"Соединённые Штаты Америки"
"auto";"Mitsubishi Delica";1986;5;"Соединённые Штаты Америки"
"auto";"Nissan Gloria";1975;5;"Япония"
"auto";"Nissan Sentra";2006;6;"Япония"
"auto";"SsangYong Korando";1983;6;"Республика Корея"
"auto";"Mitsubishi Mirage";1985;5;"Соединённые Штаты Америки"
"auto";"Volkswagen T1";1971;4;"Германия"
"auto";"Tatra 12";1926;4;"Чехия"
"auto";"Jeep CJ";1944;5;"Филиппины"
"auto";"SEAT Ibiza";2002;7;"Испания"
"auto";"Mitsubishi Colt";1962;5;"Нидерланды"
"auto";"Mitsubishi Lancer";1973;6;"Филиппины"
"auto";"Mitsubishi Eclipse";2000;6;"Соединённые Штаты Америки"
"auto";"Lancia Delta";2008;6;"Италия"
"auto";"Mitsubishi Galant";1992;5;"Филиппины"
"auto";"Porsche 959";1986;6;"Германия"
"auto";"Nissan Micra";1982;5;"Япония"
"auto";"Jeep CJ";1976;5;"Таиланд"
"auto";"Pontiac GTO";1974;6;"Соединённые Штаты Америки"
"auto";"Nissan Gloria";1962;5;"Япония"
"auto";"Jeep CJ";1964;5;"Таиланд"
"auto";"Nissan Note";2004;5;"Япония"
"auto";"Nissan Laurel";2013;5;"Япония"
"auto";"Proton Saga";1985;6;"Малайзия"
"auto";"Nissan Gloria";1967;5;"Япония"
"auto";"Ford Anglia";1959;3;"Англия"
"auto";"Porsche Carrera GT";2004;6;"Германия"
"auto";"Nissan Laurel";1984;5;"Япония"
"auto";"Dodge Neon";1995;5;"Германия"
"auto";"Mitsubishi Mirage";2004;5;"Филиппины"
"auto";"Suzuki Wagon R";1999;5;"Индия"
"auto";"Nissan Stanza";1986;5;"Япония"
"auto";"Tatra 77";249;4;"Чехия"
"auto";"Volkswagen Eos";2006;6;"Германия"
"auto";"Infiniti FX";2008;7;"Япония"
"auto";"Daewoo Damas";1985;5;"Индия"
"auto";"Opel GT";2006;4;"Соединённые Штаты Америки"
"auto";"Mitsubishi Eclipse";1995;6;"Соединённые Штаты Америки"
"auto";"Buick Roadmaster";1936;4;"Соединённые Штаты Америки"
"auto";"Nissan Caravan Elgrand";1997;5;"Япония"
"auto";"Lancia Ypsilon";2003;6;"Италия"
"auto";"Mitsubishi Lancer Evolution";1992;6;"Австралия"
"auto";"Mitsubishi Eclipse";1989;6;"Австралия"
"auto";"Nissan Sunny";1978;5;"Япония"
"auto";"Mitsubishi Outlander";2012;6;"Филиппины"
"auto";"Jeep CJ";1944;5;"Таиланд"
"auto";"Nissan Qashqai";2007;6;"Япония"
"auto";"DeLorean DMC-12";1981;5;"Великобритания"
"auto";"Nissan Cube";1998;6;"Япония"
"auto";"Nissan Altima Hybrid";1992;6;"Япония"
"auto";"Renault Logan";2012;5;"Румыния"
"auto";"Nissan X-Trail";2008;6;"Япония"
"auto";"Renault Samsung SM3";2002;5;"Республика Корея"
"auto";"ВАЗ-2121";1977;5;"Россия"
"auto";"Ford Capri";1969;4;"Эссекс"
"auto";"Nissan Sunny";1966;5;"Япония"
"auto";"Porsche 991";2011;7;"Германия"
"auto";"Mitsubishi Mirage";1995;5;"Таиланд"
"auto";"Mitsubishi Grandis";2016;6;"Соединённые Штаты Америки"
"auto";"Jeep Wrangler";1986;6;"Иран"
"auto";"Peugeot 508";2010;6;"Франция"
"auto";"Volvo C70";1997;6;"Италия"
"auto";"Jeep CJ";1984;5;"Австралия"
"auto";"Pontiac GTO";2004;6;"Австралия"
"auto";"Dodge Super Bee";1977;4;"Германия"
"auto";"Fiat Linea";2007;6;"Италия"
"auto";"Nissan Cedric";1971;5;"Япония"
"auto";"Autobianchi Y10";1985;5;"Италия"
"auto";"Mitsubishi Mirage";1998;5;"Австралия"
"auto";"Jeep CJ";1976;5;"Австралия"
"auto";"Nissan President";2002;5;"Япония"
"auto";"Nissan President";2002;5;"Япония"
"auto";"Pontiac GTO";1974;6;"Соединённые Штаты Америки"
"auto";"Nissan Sunny";1970;5;"Япония"
"auto";"SsangYong Korando";1997;6;"Республика Корея"
"auto";"Nissan Laurel";1972;5;"Япония"
"auto";"Nissan Pathfinder";2004;7;"Япония"
"auto";"Daewoo Damas";1976;5;"Индия"
"auto";"Nissan Sunny";1983;5;"Япония"
"auto";"Nissan Altima Hybrid";2006;6;"Япония"
"auto";"Nissan Gloria";1983;5;"Япония"
"auto";"Mitsubishi Outlander";2005;6;"Соединённые Штаты Америки"
"auto";"Nissan Skyline";2006;7;"Япония"
"auto";"Nissan Silvia";1975;6;"Япония"
"auto";"Nissan Silvia";1974;6;"Япония"
"auto";"Nissan Bluebird Sylphy";2000;6;"Япония"
"auto";"Mitsubishi L200";1987;5;"Австралия"
"auto";"Renault Mégane";2003;6;"Иран"
"auto";"SsangYong Korando";2010;6;"Республика Корея"
"auto";"Daewoo Damas";1991;5;"Индия"
"auto";"Volkswagen Golf II";1983;4;"Германия"
"auto";"Jeep CJ";1951;5;"Соединённые Штаты Америки"
"auto";"Volkswagen Lupo";1998;5;"Германия"
"auto";"Nissan Bluebird Sylphy";2000;6;"Япония"
"auto";"Peugeot 107";2005;5;"Франция"
"auto";"Mitsubishi Space Runner";2010;6;"Нидерланды"
"auto";"Volkswagen Polo";2002;7;"Германия"
"auto";"Jeep CJ";1984;5;"Нидерланды"
"auto";"Nissan Titan";2003;5;"Япония"
"auto";"Nissan Laurel";1980;5;"Япония"
"auto";"Mitsubishi Galant";1992;5;"Соединённые Штаты Америки"
"auto";"Ford Capri";1961;4;"Эссекс"
"auto";"Nissan Cefiro";1988;5;"Япония"
"auto";"Volkswagen Käfer";1938;4;"Германия"
"auto";"Nissan Gloria";1987;5;"Япония"
"auto";"Volkswagen Jetta";2010;7;"Германия"
"auto";"Suzuki Escudo";2005;5;"Канада"
"auto";"Volkswagen Corrado";1988;5;"Германия"
"auto";"Nissan Stanza";1982;5;"Япония"
"auto";"Nissan 300ZX";1989;5;"Япония"
"auto";"Nissan Skyline";1977;7;"Япония"
"auto";"Dodge Super Bee";1971;4;"Германия"
"auto";"Mitsubishi Pajero";1991;5;"Австралия"
"auto";"Mitsubishi Mirage";1982;5;"Соединённые Штаты Америки"
"auto";"Mitsubishi Mirage";1988;5;"Соединённые Штаты Америки"
"auto";"Jeep CJ";1976;5;"Соединённые Штаты Америки"
"auto";"Chevrolet Silverado";2007;6;"Соединённые Штаты Америки"
"auto";"Ford Capri";1989;4;"Великобритания"
"auto";"Mitsubishi Pajero";1982;5;"Австралия"
"auto";"Fiat 8 HP";1901;3;"Италия"
"auto";"Mitsubishi i";2006;4;"Таиланд"
"auto";"Mitsubishi i";2006;4;"Соединённые Штаты Америки"
"auto";"Fiat 125";1967;5;"Италия"
"auto";"Mitsubishi Mirage";2012;5;"Австралия"
"auto";"Isuzu VehiCROSS";1997;4;"Япония"
"auto";"Nissan Stanza";1990;5;"Япония"
"auto";"Volkswagen Golf I";1974;4;"Германия"
"auto";"Fiat Coupé";1993;5;"Италия"
"auto";"Dodge Viper";1996;6;"Германия"
"auto";"Kia Cerato";2003;5;"Республика Корея"
"auto";"Volkswagen Jetta";1999;7;"Германия"
"auto";"Nissan Tiida";2006;6;"Япония"
"auto";"Jeep CJ";1945;5;"Таиланд"
"auto";"Ford Anglia";1939;3;"Эссекс"
"auto";"Mitsubishi Delica";1986;5;"Филиппины"
"auto";"Porsche 964";1989;5;"Германия"
"auto";"Jeep CJ";1955;5;"Филиппины"
"auto";"Pontiac Firebird";1970;5;"Соединённые Штаты Америки"
"auto";"Nissan Skyline";1977;7;"Япония"
"auto";"Daewoo Damas";1965;5;"Индия"
"auto";"Mercedes-Benz Sprinter";1995;6;"Германия"
"auto";"SEAT Ibiza";2002;7;"Испания"
"auto";"Chevrolet Nova";1961;5;"Соединённые Штаты Америки"
"auto";"Nissan Silvia";554;6;"Япония"
"auto";"Mitsubishi L200";1987;5;"Соединённые Штаты Америки"
"auto";"Nissan Cube";2009;6;"Япония"
"auto";"Chevrolet Colorado";2004;6;"Соединённые Штаты Америки"
"auto";"Nissan Juke";2010;6;"Япония"
"auto";"Nissan Caravan Elgrand";2010;5;"Япония"
"auto";"Volkswagen Polo";2005;7;"Германия"
"auto";"Mitsubishi Space Runner";1997;6;"Филиппины"
"auto";"Fiat 520";1927;4;"Италия"
"auto";"Volkswagen Golf III";1991;4;"Германия"
"auto";"Porsche 944";1982;5;"Германия"
"auto";"Tata Indigo";2009;5;"Индия"
"auto";"Nissan Micra";2002;5;"Япония"
"auto";"Acura RL";1996;4;"Япония"
"auto";"Nissan President";1965;5;"Япония"
"auto";"Nissan Sentra";2012;6;"Япония"
"auto";"SEAT Alhambra";2010;6;"Испания"
"auto";"Nissan Laurel";1972;5;"Япония"
"auto";"Fiat Punto";1999;6;"Италия"
"auto";"Subaru BRZ";2010;6;"Япония"
"auto";"Mitsubishi L200";2005;5;"Соединённые Штаты Америки"
"auto";"Dodge Viper";2003;6;"Германия"
"auto";"Jeep CJ";1984;5;"Соединённые Штаты Америки"
"auto";"Kia cee’d";2006;6;"Республика Корея"
"auto";"Chevrolet Tahoe";2007;6;"Соединённые Штаты Америки"
"auto";"Peugeot 306";1993;6;"Франция"
"auto";"Volkswagen Scirocco";1982;7;"Германия"
"auto";"Nissan President";1965;5;"Япония"
"auto";"Pontiac GTO";2004;6;"Соединённые Штаты Америки"
"auto";"Mitsubishi Grandis";2016;6;"Филиппины"
"auto";"Cadillac CTS";2013;8;"Соединённые Штаты Америки"
"auto";"Mitsubishi Eclipse";2006;6;"Филиппины"
"auto";"SEAT Ibiza";1999;7;"Испания"
"auto";"Mercedes-Benz R231";2011;7;"Германия"
"auto";"Oldsmobile Silhouette";1990;4;"Соединённые Штаты Америки"
"auto";"Nissan Sentra";2006;6;"Япония"
"auto";"Mitsubishi Mirage";1987;5;"Таиланд"
"auto";"Nissan Sunny";1981;5;"Япония"
"auto";"Mitsubishi Galant";2003;5;"Австралия"
"auto";"Mitsubishi Space Runner";1997;6;"Таиланд"
"auto";"SEAT Altea";2004;7;"Испания"
"auto";"SEAT Alhambra";1996;6;"Испания"
"auto";"Mitsubishi Outlander";2005;6;"Нидерланды"
"auto";"Mitsubishi Diamante";1995;5;"Соединённые Штаты Америки"
"auto";"Nissan Cefiro";1994;5;"Япония"
"auto";"Porsche Boxster";2005;7;"Германия"
"auto";"Nissan 300ZX";1983;5;"Япония"
"auto";"Nissan 350Z";2003;6;"Япония"
"auto";"Chrysler 300";2004;8;"Германия"
"auto";"Chevrolet Cruze";2008;6;"Соединённые Штаты Америки"
"auto";"Nissan Silvia";1989;6;"Япония"
"auto";"Peugeot 306";1993;6;"Франция"
"auto";"Oldsmobile 88";1961;4;"Соединённые Штаты Америки"
"auto";"Mitsubishi Eclipse";1990;6;"Таиланд"
"auto";"Volkswagen Fox";2005;5;"Германия"
"auto";"Mitsubishi Outlander";2005;6;"Таиланд"
"auto";"Nissan Cedric";1976;5;"Япония"
"auto";"Kia Sportage";2004;6;"Республика Корея"
"auto";"Suzuki XL-7";2001;5;"Соединённые Штаты Америки"
"auto";"Nissan Skyline";1957;7;"Япония"
"auto";"Jeep CJ";1964;5;"Нидерланды"
"auto";"Nissan Laurel";1968;5;"Япония"
"auto";"Nissan Gloria";1959;5;"Япония"
"auto";"Fiat 132/Argenta";1972;4;"Италия"
"auto";"Porsche 996";1998;6;"Германия"
"auto";"DKW F7";1937;3;"Германия"
"auto";"ГАЗ-51";1946;4;"Россия"
"auto";"Subaru Legacy (второе поколение)";1994;5;"Япония"
"auto";"Fiat Panda";1980;6;"Италия"
"auto";"Mitsubishi Mirage";1983;5;"Соединённые Штаты Америки"
"auto";"Volvo S70";1996;5;"Швеция"
"auto";"Nissan X-Trail";2001;6;"Япония"
"auto";"Cadillac Series 70";1935;4;"Соединённые Штаты Америки"
"auto";"Porsche 944";1982;5;"Германия"
"auto";"Ford Anglia";1949;3;"Великобритания"
"auto";"Nissan Titan";2003;5;"Япония"
"auto";"Fiat 515";1931;4;"Италия"
"auto";"Nissan Skyline";1993;7;"Япония"
"auto";"Nissan Sentra";1985;6;"Япония"
"auto";"Nissan Fuga";2009;7;"Япония"
"auto";"Volkswagen Sharan";2010;6;"Германия"
"auto";"Daewoo Damas";1979;5;"Индия"
"auto";"Chevrolet Silverado";1998;6;"Соединённые Штаты Америки"
"auto";"Mitsubishi L200";1978;5;"Филиппины"
"auto";"Nissan Sentra";2012;6;"Япония"
"auto";"Mitsubishi Delica";1994;5;"Нидерланды"
"auto";"Mitsubishi Eclipse";2000;6;"Таиланд"
"auto";"Nissan Gloria";1975;5;"Япония"
"auto";"Fiat 12 HP";106;3;"Италия"
"auto";"Nissan Caravan Elgrand";2002;5;"Япония"
"auto";"Jeep CJ";1949;5;"Соединённые Штаты Америки"
"auto";"Mitsubishi Grandis";2016;6;"Нидерланды"
"auto";"Nissan Qashqai";2013;6;"Япония"
"auto";"Nissan Skyline";1981;7;"Япония"
"auto";"Chevrolet Caprice";2000;6;"Соединённые Штаты Америки"
"auto";"Chevrolet Equinox";2009;6;"Канада"
"auto";"Nissan Tiida";2004;6;"Япония"
"auto";"Ford Festiva";1986;5;"Иран"
"auto";"Nissan Laurel";1968;5;"Япония"
"auto";"Fiat 500L";2012;6;"Италия"
"auto";"Chevrolet Cobalt";2004;6;"Соединённые Штаты Америки"
"auto";"Fiat 505";1919;4;"Италия"
"auto";"Mitsubishi Delica";2007;5;"Соединённые Штаты Америки"
"auto";"Nissan Fuga";2004;7;"Япония"
"auto";"Mitsubishi Delica";1986;5;"Австралия"
"auto";"Hyundai Entourage";2006;5;"Республика Корея"
"auto";"Fiat Uno";1995;5;"Италия"
"auto";"Mitsubishi Galant";1969;5;"Соединённые Штаты Америки"
"auto";"Proton Saga";1992;6;"Малайзия"
"auto";"Suzuki XL-7";2007;5;"Канада"
"auto";"Volvo S40";1995;6;"Швеция"
"auto";"Nissan President";1990;5;"Япония"
"auto";"Chevrolet Caprice";2006;6;"Соединённые Штаты Америки"
"auto";"Mitsubishi Diamante";1990;5;"Австралия"
"auto";"Nissan Gloria";1967;5;"Япония"
"auto";"Nissan Stanza";1982;5;"Япония"
"auto";"Chrysler Intrepid";1993;4;"Германия"
"auto";"Jeep CJ";1949;5;"Австралия"
"auto";"Mitsubishi Galant";1976;5;"Соединённые Штаты Америки"
"auto";"Mitsubishi Delica";1979;5;"Нидерланды"
"auto";"ВАЗ-2121";1998;5;"Россия"
"auto";"Isuzu Piazza";1981;5;"Япония"
"auto";"Nissan Silvia";1965;6;"Япония"
"auto";"Porsche Carrera GT";2004;6;"Германия"
"auto";"Nissan Sunny";2010;5;"Япония"
"auto";"Jeep CJ";1953;5;"Соединённые Штаты Америки"
"auto";"Volkswagen Typ 4";1972;4;"Германия"
"auto";"Chevrolet Traverse";2008;6;"Соединённые Штаты Америки"
"auto";"Renault Mégane";1995;6;"Иран"
"auto";"Renault Logan";2012;5;"Румыния"
"auto";"Nissan Cedric";2013;5;"Япония"
"auto";"SEAT Ibiza";2008;7;"Испания"
"auto";"Volkswagen Scirocco";1974;7;"Германия"
"auto";"Nissan S30";1975;5;"Япония"
"auto";"Peugeot 306";1999;6;"Франция"
"auto";"Nissan Cedric";1991.06;5;"Япония"
"auto";"Mitsubishi Mirage";1983;5;"Таиланд"
"auto";"Fiat Dino";1966;5;"Италия"
"auto";"Jeep CJ";1953;5;"Австралия"
"auto";"Kia Carens";2013;6;"Республика Корея"
"auto";"Nissan Cedric";1979;5;"Япония"
"auto";"Volvo V70";2000;6;"Швеция"
"auto";"Nissan Pathfinder";1985;7;"Япония"
"auto";"Mitsubishi Outlander";2001;6;"Нидерланды"
"auto";"Jeep CJ";1949;5;"Нидерланды"
"auto";"Ford Capri";1961;4;"Англия"
"auto";"Mitsubishi Galant";1996;5;"Филиппины"
"auto";"Nissan Laurel";1968;5;"Япония"
"auto";"Ford Anglia";1959;3;"Великобритания"
"auto";"Nissan Fuga";2004;7;"Япония"
"auto";"Mitsubishi Mirage";1998;5;"Таиланд"
"auto";"DeLorean DMC-12";1981;5;"Северная Ирландия"
"auto";"Jeep CJ";1951;5;"Нидерланды"
"auto";"Mitsubishi Mirage";1988;5;"Филиппины"
"auto";"Mitsubishi Delica";1979;5;"Филиппины"
"auto";"Mitsubishi Colt";2002;5;"Нидерланды"
"auto";"Subaru FF-1 Star";1970;4;"Япония"
"auto";"Oldsmobile 88";1977;4;"Соединённые Штаты Америки"
"auto";"Volkswagen Jetta";1979;7;"Германия"
"auto";"Pontiac GTO";1964;6;"Австралия"
"auto";"Nissan Sunny";2006;5;"Япония"
"auto";"Fiat 525";1928;4;"Италия"
"auto";"Jeep CJ";1944;5;"Нидерланды"
"auto";"Suzuki XL-7";2001;5;"Канада"
"auto";"Oldsmobile 98";1940;4;"Соединённые Штаты Америки"
"auto";"ГАЗ-24";1977;4;"Россия"
"auto";"Mitsubishi i";2006;4;"Австралия"
"auto";"Nissan Cefiro";1997;5;"Япония"
"auto";"Nissan Cube";1998;6;"Япония"
"auto";"SEAT Ibiza";1984;7;"Испания"
"auto";"Nissan Sentra";1995;6;"Япония"
"auto";"Volkswagen Polo";1975;7;"Германия"
"auto";"Acura MDX";2003;6;"Япония"
"auto";"Nissan 350Z";2003;6;"Япония"
"auto";"Tatra 97";1936;4;"Чехия"
"auto";"Peugeot 3008";2008;6;"Франция"
"auto";"Jeep Wrangler";1996;6;"Германия"
"auto";"Volvo S40";2004;6;"Швеция"
"auto";"Nissan Cedric";1998;5;"Япония"
"auto";"Pontiac Trans Sport";1989;5;"Соединённые Штаты Америки"
"auto";"Mitsubishi Mirage";1995;5;"Соединённые Штаты Америки"
"auto";"Nissan Bluebird Sylphy";2000;6;"Япония"
"auto";"Pontiac Firebird";1982;5;"Соединённые Штаты Америки"
"auto";"Nissan Juke";2010;6;"Япония"
"auto";"Mitsubishi Grandis";2003;6;"Австралия"
"auto";"Mitsubishi Eclipse";1995;6;"Таиланд"
"auto";"Volvo S60";2000;6;"Швеция"
"auto";"Kia Carnival";1998;6;"Республика Корея"
"auto";"Mitsubishi Mirage";1985;5;"Таиланд"
"auto";"Nissan Gloria";1991;5;"Япония"
"auto";"Mitsubishi Lancer Evolution";1992;6;"Соединённые Штаты Америки"
"auto";"Jeep CJ";45;5;"Соединённые Штаты Америки"
"auto";"Nissan X-Trail";2005;6;"Япония"
"auto";"Chrysler PT Cruiser";2000;5;"Германия"
"auto";"Mitsubishi Mirage";1988;5;"Таиланд"
"auto";"Nissan Cedric";2013;5;"Япония"
"auto";"Nissan Sentra";1985;6;"Япония"
"auto";"Ford Capri";1989;4;"Эссекс"
"auto";"Ford Anglia";1959;3;"Эссекс"
"auto";"Mitsubishi Eclipse";1990;6;"Нидерланды"
"auto";"Renault Mégane";2006;6;"Иран"
"auto";"Mitsubishi Galant";1992;5;"Нидерланды"
"auto";"Jeep CJ";1964;5;"Австралия"
"auto";"Chevrolet Silverado";1999;6;"Соединённые Штаты Америки"
"auto";"Isuzu Trooper";1991;5;"Япония"
"auto";"Volvo 700 Series";1982;5;"Швеция"
"auto";"Cadillac CTS";2007;8;"Соединённые Штаты Америки"
"auto";"Chevrolet Nova";1965;5;"Соединённые Штаты Америки"
"auto";"Chevrolet Caprice";1965;6;"Соединённые Штаты Америки"
"auto";"Kia Venga";2009;6;"Республика Корея"
"auto";"Nissan Altima Hybrid";1992;6;"Япония"
"auto";"Mitsubishi Eclipse";1989;6;"Таиланд"
"auto";"Nissan Laurel";1977;5;"Япония"
"auto";"Nissan Altima Hybrid";1993;6;"Япония"
"auto";"Chevrolet Apache";1955;3;"Соединённые Штаты Америки"
"auto";"Nissan Qashqai";2007;6;"Япония"
"auto";"Nissan Armada";2003;5;"Япония"
"auto";"Nissan Gloria";1962;5;"Япония"
"auto";"Lotus Elan";1996;5;"Республика Корея"
"auto";"SEAT León";1998;7;"Испания"
"auto";"Oldsmobile 88";1959;4;"Соединённые Штаты Америки"
"auto";"Mitsubishi Colt";2002;5;"Австралия"
"auto";"Peugeot 309";1985;5;"Франция"
"auto";"Tatra 77";1935;4;"Чехия"
"auto";"Ford Consul";1956;4;"Великобритания"
"auto";"Renault Mégane";2002;6;"Иран"
"auto";"Oldsmobile 88";1954;4;"Соединённые Штаты Америки"
"auto";"Nissan Wingroad";2006;5;"Япония"
"auto";"Opel GT";1968;4;"Соединённые Штаты Америки"
"auto";"Nissan Stanza";1977;5;"Япония"
"auto";"Mitsubishi Delica";2007;5;"Австралия"
"auto";"Ford Anglia";1939;3;"Англия"
"auto";"Infiniti FX";2002;7;"Япония"
"auto";"Tata Indigo";2009;5;"Индия"
"auto";"Mitsubishi Mirage";1985;5;"Австралия"
"auto";"Daewoo Damas";2001;5;"Индия"
"auto";"Pontiac Trans Sport";1990;5;"Соединённые Штаты Америки"
"auto";"Mitsubishi Outlander";2003;6;"Австралия"
"auto";"Mitsubishi Mirage";1998;5;"Нидерланды"
"auto";"SEAT Ibiza";1993;7;"Испания"
"auto";"Nissan Sentra";1995;6;"Япония"
"auto";"Tatra 77";249;4;"Чехия"
"auto";"Volkswagen Golf VII";2012;7;"Германия"
"auto";"Nissan Wingroad";2006;5;"Япония"
"auto";"ВАЗ-2120";1998;5;"Россия"
"auto";"Jeep CJ";1954;5;"Австралия"
"auto";"Jeep CJ";1945;5;"Нидерланды"
"auto";"Nissan X-Trail";2008;6;"Япония"
"auto";"Subaru Legacy (второе поколение)";1995;5;"Япония"
"auto";"Nissan Silvia";1995;6;"Япония"
"auto";"Mitsubishi Delica";1986;5;"Таиланд"
"auto";"Pontiac GTO";1968;6;"Соединённые Штаты Америки"
"auto";"Mitsubishi Lancer";2007;6;"Соединённые Штаты Америки"
"auto";"Nissan S30";1969;5;"Япония"
"auto";"Dodge Challenger";1970;6;"Австралия"
"auto";"Fiat 2800";1938;4;"Италия"
"auto";"GMC Acadia";2006;6;"Соединённые Штаты Америки"
"auto";"Ford Anglia";1953;3;"Англия"
"auto";"Mitsubishi Delica";1986;5;"Нидерланды"
"auto";"Jeep CJ";1964;5;"Соединённые Штаты Америки"
"auto";"Mitsubishi L200";2005;5;"Нидерланды"
"auto";"Ford Anglia";1939;3;"Великобритания"
"auto";"Nissan Laurel";1993;5;"Япония"
"auto";"ГАЗ-53";1961;4;"Россия"
"auto";"Mitsubishi L200";1987;5;"Филиппины"
"auto";"Nissan Skyline";1963;7;"Япония"
"auto";"Jeep CJ";1964;5;"Соединённые Штаты Америки"
"auto";"Nissan Silvia";1984;6;"Япония"
"auto";"Nissan Cedric";1995.06;5;"Япония"
"auto";"Volkswagen Gol";1994;5;"Германия"
"auto";"Nissan X-Trail";2009;6;"Япония"
"auto";"Mitsubishi Lancer";2007;6;"Таиланд"
"auto";"Nissan Cedric";1962;5;"Япония"
"auto";"Nissan Laurel";1980;5;"Япония"
"auto";"Chevrolet Caprice";1976;6;"Соединённые Штаты Америки"
"auto";"Mitsubishi Eclipse";2006;6;"Таиланд"
"auto";"Fiat Uno";1983;5;"Италия"
"auto";"Maruti 800";1984;4;"Индия"
"auto";"Nissan Cefiro";1997;5;"Япония"
"auto";"Jeep CJ";1953;5;"Соединённые Штаты Америки"
"auto";"Nissan X-Trail";2005;6;"Япония"
"auto";"Dodge Challenger";1978;6;"Нидерланды"
"auto";"Fiat 6 HP";1900;3;"Италия"
"auto";"Jeep CJ";1955;5;"Соединённые Штаты Америки"
"auto";"Ford Capri";1969;4;"Великобритания"
"auto";"Ford Capri";1969;4;"Англия"
"auto";"Fiat 124";1966;5;"Италия"
"auto";"Acura CL";2001;6;"Япония"
"auto";"Nissan Micra";2002;5;"Япония"
"auto";"Nissan Sunny";1981;5;"Япония"
"auto";"Ford Anglia";1949;3;"Великобритания"
"auto";"Jeep CJ";1981;5;"Филиппины"
"auto";"Kia Carnival";2006;6;"Республика Корея"
"auto";"Nissan Altima Hybrid";2001;6;"Япония"
"auto";"Chevrolet Nova";1985;5;"Соединённые Штаты Америки"
"auto";"Kia Sorento";2009;6;"Республика Корея"
"auto";"Nissan Silvia";1965;6;"Япония"
"auto";"Ford Anglia";1962;3;"Великобритания"
"auto";"Lancia Ypsilon";1996;6;"Италия"
"auto";"Nissan Cedric";1983;5;"Япония"
"auto";"SEAT León";2012;7;"Испания"
"auto";"Mitsubishi Pajero";1991;5;"Филиппины"
"auto";"Nissan Laurel";1993;5;"Япония"
"auto";"Chery Kimo";2007;5;"Китайская Народная Республика"
"auto";"Jeep CJ";1955;5;"Нидерланды"
"auto";"Mitsubishi Galant";1976;5;"Нидерланды"
"auto";"Mitsubishi L200";1978;5;"Австралия"
"auto";"Chery A5";2006;5;"Китайская Народная Республика"
"auto";"SsangYong Chairman";2008;7;"Республика Корея"
"auto";"Nissan Tiida";2007;6;"Япония"
"auto";"Mitsubishi Colt";1962;5;"Филиппины"
"auto";"Nissan Altima Hybrid";2006;6;"Япония"
"auto";"Kia Sephia";1997;5;"Республика Корея"
"auto";"Chevrolet Malibu";1978;6;"Соединённые Штаты Америки"
"auto";"Nissan 300ZX";1983;5;"Япония"
"auto";"Mercedes-Benz SLK-класс";2011;7;"Германия"
"auto";"Infiniti FX";2013;7;"Япония"
"auto";"Nissan S30";1970;5;"Япония"
"auto";"Nissan Tiida";2007;6;"Япония"
"auto";"Jeep CJ";1951;5;"Соединённые Штаты Америки"
"auto";"Volvo C70";2006;6;"Италия"
"auto";"Dacia Lodgy";2012;6;"Румыния"
"auto";"Nissan Silvia";1995;6;"Япония"
"auto";"Nissan Cube";2009;6;"Япония"
"auto";"SEAT Alhambra";2010;6;"Испания"
"auto";"Isuzu Piazza";1990;5;"Япония"
"auto";"Fiat 12 HP";1901;3;"Италия"
"auto";"Porsche 964";1989;5;"Германия"
"auto";"Jeep CJ";45;5;"Таиланд"
"auto";"Mitsubishi Space Runner";1991;6;"Австралия"
"auto";"Infiniti FX";2002;7;"Япония"
"auto";"Nissan Cedric";1960;5;"Япония"
"auto";"Volvo V70";1997;6;"Швеция"
"auto";"Mitsubishi L200";1996;5;"Соединённые Штаты Америки"
"auto";"Mitsubishi Mirage";2012;5;"Соединённые Штаты Америки"
"auto";"Subaru Legacy (третье поколение)";1998;5;"Япония"
"auto";"Oldsmobile 88";1971;4;"Соединённые Штаты Америки"
"auto";"Nissan Cube";1998;6;"Япония"
"auto";"Audi RS4";2006;7;"Германия"
"auto";"Pontiac G6";2004;6;"Соединённые Штаты Америки"
"auto";"Bentley Continental Flying Spur";2013;8;"Германия"
"auto";"Dodge Challenger";1970;6;"Филиппины"
"auto";"Fiat 6 HP";20;3;"Италия"
"auto";"SEAT León";1999;7;"Испания"
"auto";"Tatra 87";1936;4;"Чехия"
"auto";"Nissan Silvia";1975;6;"Япония"
"auto";"Ford Capri";1989;4;"Англия"
"auto";"Mitsubishi Eclipse";2000;6;"Соединённые Штаты Америки"
"auto";"SEAT Ibiza";1993;7;"Испания"
"auto";"Smart City Coupe";2007;6;"Германия"
"auto";"Nissan Laurel";2013;5;"Япония"
"auto";"Tatra 12";1926;4;"Чехия"
"auto";"Mitsubishi Pajero";1991;5;"Соединённые Штаты Америки"
"auto";"Dodge Challenger";1978;6;"Соединённые Штаты Америки"
